TIME,WINDDIRECTION,AIRTEMPERATURE,RELATIVEHUMIDITY,PRESSURE,PRECIPITATION,WINDSPEED,DEWPOINT
2008-08-31 07:01:00.0,158.0,62.8,66.0,23.8,0.0,11.0,51.3
2008-08-31 07:02:00.0,155.0,62.6,67.0,23.8,0.0,10.0,51.6
2008-08-31 07:03:00.0,152.0,62.5,69.0,23.8,0.0,10.0,52.1
2008-08-31 07:04:00.0,153.0,62.3,70.0,23.8,0.0,10.0,52.2
2008-08-31 07:05:00.0,154.0,62.2,69.0,23.8,0.0,10.0,52.0
2008-08-31 07:06:00.0,154.0,62.3,69.0,23.8,0.0,10.0,52.0
2008-08-31 07:07:00.0,150.0,62.3,70.0,23.8,0.0,9.0,52.3
2008-08-31 07:08:00.0,149.0,62.3,71.0,23.8,0.0,10.0,52.7
2008-08-31 07:09:00.0,150.0,62.4,70.0,23.8,0.0,10.0,52.5
2008-08-31 07:10:00.0,150.0,62.4,69.0,23.8,0.0,10.0,52.0
2008-08-31 07:11:00.0,148.0,62.4,69.0,23.8,0.0,9.0,52.1
2008-08-31 07:12:00.0,147.0,62.4,68.0,23.8,0.0,9.0,51.8
2008-08-31 07:13:00.0,143.0,62.5,68.0,23.8,0.0,9.0,51.8
2008-08-31 07:14:00.0,145.0,62.5,68.0,23.8,0.0,9.0,51.9
2008-08-31 07:15:00.0,144.0,62.5,68.0,23.8,0.0,9.0,51.8
2008-08-31 07:16:00.0,143.0,62.6,68.0,23.8,0.0,9.0,51.8
2008-08-31 07:17:00.0,134.0,62.6,68.0,23.8,0.0,9.0,51.8
2008-08-31 07:18:00.0,133.0,62.6,70.0,23.8,0.0,9.0,52.8
2008-08-31 07:19:00.0,141.0,62.5,71.0,23.8,0.0,9.0,53.1
2008-08-31 07:20:00.0,143.0,62.6,71.0,23.8,0.0,9.0,52.9
2008-08-31 07:21:00.0,147.0,62.6,71.0,23.8,0.0,9.0,52.9
2008-08-31 07:22:00.0,149.0,62.5,70.0,23.8,0.0,9.0,52.7
2008-08-31 07:23:00.0,149.0,62.7,71.0,23.8,0.0,9.0,53.0
2008-08-31 07:24:00.0,152.0,62.6,70.0,23.8,0.0,9.0,52.7
2008-08-31 07:25:00.0,150.0,62.6,70.0,23.8,0.0,9.0,52.8
2008-08-31 07:26:00.0,147.0,62.6,71.0,23.8,0.0,9.0,53.1
2008-08-31 07:27:00.0,146.0,62.5,71.0,23.8,0.0,9.0,53.0
2008-08-31 07:28:00.0,146.0,62.5,72.0,23.8,0.0,9.0,53.3
2008-08-31 07:29:00.0,149.0,62.5,71.0,23.8,0.0,9.0,53.1
2008-08-31 07:30:00.0,151.0,62.5,71.0,23.8,0.0,9.0,52.8
2008-08-31 07:31:00.0,150.0,62.4,69.0,23.8,0.0,9.0,52.1
2008-08-31 07:32:00.0,154.0,62.3,70.0,23.8,0.0,10.0,52.2
2008-08-31 07:33:00.0,149.0,62.1,71.0,23.8,0.0,9.0,52.6
2008-08-31 07:34:00.0,150.0,62.0,73.0,23.8,0.0,10.0,53.1
2008-08-31 07:35:00.0,151.0,61.8,74.0,23.8,0.0,10.0,53.6
2008-08-31 07:36:00.0,150.0,61.7,76.0,23.8,0.0,10.0,54.1
2008-08-31 07:37:00.0,147.0,61.5,78.0,23.8,0.0,9.0,54.5
